system:index,CECSOL_BiomassCutScaled,CHELSA_bio10_12_BiomassCutScaled,CHELSA_bio10_15_BiomassCutScaled,CHELSA_bio10_7_BiomassCutScaled,CLYPPT_BiomassCutScaled,ORCDRC_BiomassCutScaled,PETyr_BiomassScaled,PHIHOX_BiomassCutScaled,SLTPPT_BiomassCutScaled,Snow_newValues_WGS84,elevation_BiomassScaled,.geo
000000000000000008a3_0,0.0042475965,-0.032272562,-0.51255095,-0.012284012,1.2418166,-0.40959498,-0.24840993,0.34530967,0.5433908,0.0,0.0126530565,
000000000000000008a4_0,-0.050141368,0.082850374,-0.46353438,-0.012284012,1.0749416,-0.48379862,-0.3080491,0.0074021104,0.6068622,0.0,0.14725874,
000000000000000008ae_0,0.0042475965,-0.032272562,-0.51255095,-0.012284012,1.2418166,-0.40959498,-0.24840993,0.34530967,0.5433908,0.0,0.0126530565,
00000000000000000521_0,0.37827286,-0.72840655,-0.51255095,0.50221574,1.0383105,-0.9247625,-0.12581828,1.8321925,0.765067,0.0,-0.7453895,
00000000000000000522_0,0.37827286,-0.72840655,-0.51255095,0.50221574,1.0383105,-0.9247625,-0.12581828,1.8321925,0.765067,0.0,-0.7453895,
00000000000000000523_0,0.37827286,-0.72840655,-0.51255095,0.50221574,1.0383105,-0.9247625,-0.12581828,1.8321925,0.765067,0.0,-0.7453895,
00000000000000000524_0,0.37827286,-0.72840655,-0.51255095,0.50221574,1.0383105,-0.9247625,-0.12581828,1.8321925,0.765067,0.0,-0.7453895,
00000000000000000525_0,0.37827286,-0.72840655,-0.51255095,0.50221574,1.0383105,-0.9247625,-0.12581828,1.8321925,0.765067,0.0,-0.7453895,
00000000000000000526_0,0.37827286,-0.72840655,-0.51255095,0.50221574,1.0383105,-0.9247625,-0.12581828,1.8321925,0.765067,0.0,-0.7453895,
0000000000000000085c_0,-0.3850494,0.5217566,-0.51255095,-0.6737836,0.42631173,-0.19039041,-0.49690658,-0.10538294,0.35297662,0.0,-0.16209818,
0000000000000000085d_0,-0.3850494,0.5217566,-0.51255095,-0.6737836,0.42631173,-0.19039041,-0.49690658,-0.10538294,0.35297662,0.0,-0.16209818,
0000000000000000085e_0,-0.3850494,0.5217566,-0.51255095,-0.6737836,0.42631173,-0.19039041,-0.49690658,-0.10538294,0.35297662,0.0,-0.16209818,
0000000000000000085f_0,-0.3850494,0.5217566,-0.51255095,-0.6737836,0.42631173,-0.19039041,-0.49690658,-0.10538294,0.35297662,0.0,-0.16209818,
