system:index,Aridity_RichnessScaled,CECSOL_RichnessCutScaled,CHELSA_bio10_15_RichnessCutScaled,CHELSA_bio10_7_RichnessCutScaled,CLYPPT_RichnessCutScaled,ORCDRC_RichnessCutScaled,PETyr_RichnessScaled,PHIHOX_RichnessCutScaled,SLTPPT_RichnessCutScaled,Snow_newValues_WGS84,elevation_RichnessScaled,.geo
000000000000000006b8_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006b9_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006ba_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006bb_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006bc_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006bd_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006be_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006bf_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c0_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c1_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c2_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c3_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c4_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c5_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c6_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c7_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c8_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006c9_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006ca_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006cb_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006cc_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006cd_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006ce_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006cf_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d0_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d1_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d2_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d3_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d4_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d5_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d6_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
000000000000000006d7_0,-0.66985756,0.47610617,-0.28431872,-0.51814127,0.78445315,-0.7492641,1.3566282,1.3059098,1.0066327,0.0,-0.7297572,
